k,p,realization,N,E,k_mean,C,L,lambda2
4,0.4,21,100,200,4.0,0.140015873015873,3.6195959595959595,0.41294394679793067
4,0.4,22,100,200,4.0,0.10147619047619047,3.6165656565656565,0.5502801908526723
4,0.4,23,100,200,4.0,0.1515952380952381,3.8230303030303032,0.3464165102774959
4,0.4,24,100,200,4.0,0.09942857142857144,3.621212121212121,0.4848509642919717
4,0.4,25,100,200,4.0,0.09814285714285713,3.5543434343434344,0.5287862788129015
4,0.4,26,100,200,4.0,0.09209523809523809,3.567070707070707,0.4806369136502597
4,0.4,27,100,200,4.0,0.13309523809523807,3.5587878787878786,0.4712703915692154
4,0.4,28,100,200,4.0,0.11004761904761905,3.656161616161616,0.4438426291886741
4,0.4,29,100,200,4.0,0.09,3.65979797979798,0.48290882048513945
4,0.5,0,100,200,4.0,0.06195238095238095,3.506060606060606,0.5664513280160139
4,0.5,1,100,200,4.0,0.1091984126984127,3.511111111111111,0.4815406744178659
4,0.5,2,100,200,4.0,0.10785714285714285,3.522020202020202,0.5739062366669716
4,0.5,3,100,200,4.0,0.10366666666666667,3.571919191919192,0.5312676428578778
4,0.5,4,100,200,4.0,0.08961904761904763,3.554949494949495,0.5207766002441903
4,0.5,5,100,200,4.0,0.09442857142857143,3.5276767676767675,0.4670485466433111
4,0.5,6,100,200,4.0,0.06735714285714285,3.5472727272727274,0.4946770989384869
4,0.5,7,100,200,4.0,0.13647619047619047,3.684242424242424,0.38869509001887614
4,0.5,8,100,200,4.0,0.09314285714285715,3.5727272727272728,0.48198676503520405
4,0.5,9,100,200,4.0,0.07252380952380952,3.5515151515151517,0.5431973971117116
4,0.5,10,100,200,4.0,0.08147619047619047,3.5521212121212122,0.5677278186596177
4,0.5,11,100,200,4.0,0.08209523809523808,3.5765656565656565,0.5250747122755317
4,0.5,12,100,200,4.0,0.07307142857142856,3.603030303030303,0.4849656182032866
4,0.5,13,100,200,4.0,0.062142857142857146,3.5583838383838384,0.488389545848098
4,0.5,14,100,200,4.0,0.06861904761904762,3.5597979797979797,0.515866608421522
4,0.5,15,100,200,4.0,0.10057142857142858,3.556363636363636,0.5656021490997629
4,0.5,16,100,200,4.0,0.09561904761904762,3.6195959595959595,0.4748750753478874
