k,p,plateau_mean,plateau_sem,vmin_mean,tstar_mean,delta_mean,delta_sem,C_mean,C_sem,L_mean,L_sem,lambda2_mean,lambda2_sem,inv_lambda2_mean
8,0.9,0.021505226297388973,2.362556013655109e-05,0.019572504743460475,235.13333333333333,0.08985141437669791,0.0019381061082556423,0.07198225108225108,0.00144732557422536,2.4155959595959597,0.0013895592779557913,2.682245624179549,0.02011775039414081,0.3728219336012086
8,1.0,0.021486864408165978,2.9514611466293132e-05,0.019612325099210893,292.3666666666667,0.08718826127782854,0.002670909825528101,0.07220048285048283,0.001843414135645928,2.41813468013468,0.0013180140652889758,2.6659682454284406,0.016870854006443496,0.37509824121678265
10,0.0,0.03765996734955108,0.000312160008961661,0.026835082614936633,9.7,0.2858037959623461,0.008072047009817633,0.6666666666666667,4.1232648001943564e-17,5.454545454545457,4.947917760233228e-16,0.21586328420955792,1.0308162000485891e-17,4.632561779377034
10,0.01,0.03332997517457569,0.0003905941488171533,0.02628329466410358,41.96666666666667,0.20899416108331031,0.008786233993652588,0.6463705146705147,0.0017424657259411597,3.9709562289562284,0.07829556953473846,0.27063221137215127,0.006953665963450804,3.6950516530527913
10,0.03,0.02971671949921312,0.0003151963760333321,0.024959170571589903,105.0,0.15815169958804998,0.00838658633820858,0.6145406926406927,0.002592594416599565,3.292114478114478,0.028702910177646836,0.39181327729832155,0.009574977577505457,2.5522361235313955
10,0.05,0.027345120298439884,0.00022560345133866496,0.023945528384255517,236.76666666666668,0.12363388261383085,0.004255453071207365,0.5795628908128909,0.003360836334901338,3.015420875420875,0.021187511409754053,0.5519621434211675,0.02043458693976864,1.8117184519246334
10,0.1,0.024709897228637027,0.00012034694512174461,0.021971807797440013,220.23333333333332,0.11056991568310554,0.0031603744456205423,0.5044881118881119,0.003144378651710349,2.7150841750841748,0.008743758554659658,0.886382430311928,0.022027583286987912,1.128181206895187
10,0.2,0.022551188385678152,6.330900921685585e-05,0.020456225526748507,257.6666666666667,0.09286829736057846,0.0019016987378644371,0.3666153004403005,0.00496546974803378,2.4649764309764306,0.006536445900242134,1.669227399036462,0.039327344426137535,0.5990795505616766
10,0.3,0.02170576371081952,3.420607205080392e-05,0.019889730550160464,251.03333333333333,0.083616306042594,0.002199021224662866,0.2710493765493765,0.0033122705781424336,2.366020202020202,0.00326236187367355,2.3522373297152486,0.03736475942455781,0.42512717036127284
10,0.4,0.021323408851789735,2.953432857002116e-05,0.019386816162591858,232.26666666666668,0.09075326553144951,0.0023387978498054826,0.1980459512709513,0.0033691490146413056,2.3039191919191917,0.0026308598761065173,2.914148709291054,0.04194963778188146,0.3431533870635165
10,0.5,0.021117664408348127,2.6621472236319024e-05,0.019259500773722384,251.36666666666667,0.087963071603685,0.002272738159403949,0.14778389382948204,0.002653770532532119,2.264047138047138,0.0018782717920639285,3.4270226009442797,0.0311712839688704,0.2917984841198481
10,0.7,0.020940769114113515,1.948352171626716e-05,0.019167394028414827,292.4,0.08466706538308351,0.0020332786663297404,0.10365753962812785,0.0013030106687630012,2.230619528619528,0.0014903322162320891,3.8401706011081687,0.02979951615157602,0.2604050975525481
10,0.9,0.02092276972988182,2.195896311108542e-05,0.019131601637357717,200.7,0.08559943319990553,0.0019612140271940076,0.0906733635702676,0.0016547034805497723,2.2219663299663295,0.0010906223777644574,3.8960870772383136,0.029273320289220115,0.25666777466093904
10,1.0,0.020949463981155922,1.9897994271291434e-05,0.019105737480952005,220.63333333333333,0.0879984772561759,0.0019465965740693854,0.09154693324105087,0.0010386503434226652,2.2225925925925925,0.0011001361369537982,3.9118553437360135,0.02141278960124195,0.2556331745756608
12,0.0,0.03202396046551437,0.0002646382326347282,0.024976872152994604,10.8,0.21881312875290013,0.006818061287419217,0.6818181818181821,6.184897200291535e-17,4.636363636363637,0.0,0.35631031243305045,2.0616324000971782e-17,2.8065424016822322
