m,realization,N,E,k_mean,C,L,lambda2
50,8,1000,47500,95.0,0.1733589175206562,1.9068728728728728,46.09338671095758
50,9,1000,47500,95.0,0.17474896895129546,1.9067727727727728,46.008865953313396
50,10,1000,47500,95.0,0.17222060240490913,1.907041041041041,46.15652620300556
50,11,1000,47500,95.0,0.1735968421561363,1.9070450450450451,46.299025552646505
50,12,1000,47500,95.0,0.1721365183144196,1.9071231231231232,46.10248075307394
50,13,1000,47500,95.0,0.17284393171822288,1.9070350350350351,46.15221961049335
50,14,1000,47500,95.0,0.17455215634052704,1.907029029029029,46.3151675466895
50,15,1000,47500,95.0,0.17584743646287104,1.9070830830830832,46.095326059798225
50,16,1000,47500,95.0,0.17532777765815338,1.906944944944945,46.04848062832156
50,17,1000,47500,95.0,0.17108046256587298,1.9071331331331332,46.220206841352585
50,18,1000,47500,95.0,0.1737477123285193,1.907041041041041,46.09565020493716
50,19,1000,47500,95.0,0.172514289118529,1.907003003003003,46.0183378514188
50,20,1000,47500,95.0,0.17400144219449407,1.9069389389389388,46.24512028731554
50,21,1000,47500,95.0,0.17169115000463256,1.907011011011011,46.218243812398285
50,22,1000,47500,95.0,0.17211313278381374,1.906984984984985,46.0767243386246
50,23,1000,47500,95.0,0.17393430512622415,1.906984984984985,46.08820617268111
50,24,1000,47500,95.0,0.17485217688787646,1.906994994994995,26.58169091142827
50,25,1000,47500,95.0,0.17485040522650627,1.906846846846847,46.288422012454284
50,26,1000,47500,95.0,0.1727653113473634,1.906826826826827,46.38848396502831
50,27,1000,47500,95.0,0.17362314399970902,1.907047047047047,46.30238330612182
50,28,1000,47500,95.0,0.17600370168420693,1.9068068068068067,46.276277849229416
50,29,1000,47500,95.0,0.17473429933800202,1.906962962962963,46.22890573502383
60,0,1000,56400,112.8,0.19456759482244623,1.8874114114114113,56.03551648624847
60,1,1000,56400,112.8,0.19556513158033145,1.8873933933933933,53.70524594265013
60,2,1000,56400,112.8,0.19409362252844875,1.8873113113113114,56.171591756455534
60,3,1000,56400,112.8,0.1938168114241405,1.8874194194194194,56.07302862817611
60,4,1000,56400,112.8,0.19504014797266744,1.8873533533533533,56.14993587218692
60,5,1000,56400,112.8,0.19608606209939317,1.8873133133133133,50.67185124492743
60,6,1000,56400,112.8,0.19462009584239345,1.8873853853853855,56.06560974138037
60,7,1000,56400,112.8,0.19641269050991314,1.8873233233233233,56.07748100498397
60,8,1000,56400,112.8,0.1950234498680739,1.8873993993993994,55.923073247504895
60,9,1000,56400,112.8,0.19764820146991127,1.8873633633633633,56.16615360852155
60,10,1000,56400,112.8,0.19491624604567687,1.8874274274274274,56.173899728922976
60,11,1000,56400,112.8,0.19594773827284154,1.8873573573573574,56.04535389728056
60,12,1000,56400,112.8,0.19621463585341067,1.8873553553553553,56.217417762420524
60,13,1000,56400,112.8,0.19464788501355115,1.8873753753753755,56.05287428518989
60,14,1000,56400,112.8,0.1944986495646805,1.8873993993993994,56.10912795791273
60,15,1000,56400,112.8,0.19606922668900045,1.8873713713713713,55.7666938349841
60,16,1000,56400,112.8,0.19756457320998394,1.8873593593593594,56.026237629106475
60,17,1000,56400,112.8,0.19742729391820454,1.8874754754754755,20.797982482168635
60,18,1000,56400,112.8,0.19399232023288465,1.8874234234234235,56.119362641403306
60,19,1000,56400,112.8,0.19338368822461732,1.8874154154154155,56.13748599305551
60,20,1000,56400,112.8,0.1962971664841273,1.8873693693693694,56.007739814387115
60,21,1000,56400,112.8,0.19574251807855342,1.8873693693693694,56.004526773489125
60,22,1000,56400,112.8,0.1932806014076005,1.8874094094094094,55.99242558190927
60,23,1000,56400,112.8,0.19659013486623053,1.8873933933933933,56.18474681295238
60,24,1000,56400,112.8,0.19394553383567964,1.8874014014014013,55.88426945250465
60,25,1000,56400,112.8,0.19505087642093846,1.8873933933933933,55.920376760817895
60,26,1000,56400,112.8,0.19502984718798128,1.8873913913913913,55.844097599479014
60,27,1000,56400,112.8,0.19272222607492853,1.8874094094094094,56.084248859569335
60,28,1000,56400,112.8,0.19436953452880393,1.8874014014014013,56.12404787862996
60,29,1000,56400,112.8,0.19743913921292636,1.8873553553553553,56.1842784572942
80,0,1000,73600,147.2,0.23352743101662624,1.8526566566566567,75.90115105935715
