m,t,model,variance_mean,sem_total,sem_network,sem_runs
120,87,model1_fixed_q,0.045006884882172436,8.711755219876967e-05,8.711755219876969e-05,7.586028667206682e-05
120,87,model3_dynamic_q,0.04940391564528684,0.00010105084209313741,0.00010105084209313741,9.154753542328799e-05
120,88,model1_fixed_q,0.04507265101607772,8.779619808108858e-05,8.779619808108858e-05,7.57096204303027e-05
120,88,model3_dynamic_q,0.049261124523186234,0.000100990080024076,0.000100990080024076,8.927823223775247e-05
120,89,model1_fixed_q,0.0449956515065652,9.173392964169464e-05,9.173392964169462e-05,7.829117685751863e-05
120,89,model3_dynamic_q,0.04915814501455939,0.00012165995865636243,0.00012165995865636243,9.444715249928781e-05
120,90,model1_fixed_q,0.04498942598075493,7.925712803127665e-05,7.925712803127665e-05,7.870005382166352e-05
120,90,model3_dynamic_q,0.04938322713127942,0.00010836527275787351,0.00010836527275787352,9.208479576411462e-05
120,91,model1_fixed_q,0.04501024681013275,8.592419240011208e-05,8.592419240011209e-05,7.760887383581993e-05
120,91,model3_dynamic_q,0.04941231292370962,9.648178954365193e-05,9.648178954365193e-05,9.298685438203853e-05
120,92,model1_fixed_q,0.04501182335677285,7.943964121431027e-05,7.943964121431027e-05,7.694215325887836e-05
120,92,model3_dynamic_q,0.04941696251839859,8.516844975452531e-05,8.217598680087294e-05,8.516844975452531e-05
120,93,model1_fixed_q,0.045032168973587784,8.556988063244723e-05,8.556988063244723e-05,7.519957185597232e-05
120,93,model3_dynamic_q,0.04948390344941452,9.385142631335223e-05,9.385142631335225e-05,8.641408424076026e-05
120,94,model1_fixed_q,0.04497672009869502,8.342698996183436e-05,8.342698996183436e-05,7.831115507947429e-05
120,94,model3_dynamic_q,0.04942975647460128,8.879227133241582e-05,8.806868445387205e-05,8.879227133241582e-05
120,95,model1_fixed_q,0.04500848922910843,8.936446467609602e-05,8.936446467609603e-05,7.406823845340251e-05
120,95,model3_dynamic_q,0.04932586394128418,9.815619864409672e-05,9.815619864409671e-05,9.378478677562576e-05
120,96,model1_fixed_q,0.0450750589510791,7.987615596399449e-05,7.987615596399449e-05,7.670726163046479e-05
120,96,model3_dynamic_q,0.04930996255659422,0.00010562301979315656,0.00010562301979315658,9.134239084237787e-05
120,97,model1_fixed_q,0.04511994561025632,9.625615635966234e-05,9.625615635966235e-05,7.538729416948387e-05
120,97,model3_dynamic_q,0.049297991236584085,9.963995778322704e-05,9.963995778322704e-05,9.127414520213442e-05
120,98,model1_fixed_q,0.045127225502391455,7.55557503245028e-05,7.285531552857661e-05,7.55557503245028e-05
120,98,model3_dynamic_q,0.04925346705938369,9.216172286415993e-05,7.919829726694368e-05,9.216172286415993e-05
120,99,model1_fixed_q,0.04497872179116637,7.740919546750932e-05,7.084486578613193e-05,7.740919546750932e-05
120,99,model3_dynamic_q,0.04931295375807008,9.408535236104311e-05,9.233587980872967e-05,9.408535236104311e-05
120,100,model1_fixed_q,0.045003790273858715,7.639749150959566e-05,7.639749150959566e-05,7.524488112324682e-05
120,100,model3_dynamic_q,0.04930204433762561,9.604708500699199e-05,9.371788730007999e-05,9.604708500699199e-05
120,101,model1_fixed_q,0.04500957424298298,8.074081746308041e-05,8.074081746308041e-05,7.31520880169091e-05
120,101,model3_dynamic_q,0.04932302589272411,9.811109011750735e-05,8.365530907669101e-05,9.811109011750735e-05
120,102,model1_fixed_q,0.04496293762017758,7.365626680845332e-05,7.056133134527273e-05,7.365626680845332e-05
120,102,model3_dynamic_q,0.04922212341539172,9.369591337461504e-05,9.256559650419114e-05,9.369591337461504e-05
120,103,model1_fixed_q,0.045099263246876554,8.36654077799946e-05,8.366540777999462e-05,7.71855077424049e-05
120,103,model3_dynamic_q,0.0491319589341987,9.3854559342784e-05,8.99508871776571e-05,9.3854559342784e-05
120,104,model1_fixed_q,0.0449788885773909,7.785409122784638e-05,7.220638192707805e-05,7.785409122784638e-05
120,104,model3_dynamic_q,0.049204321603156714,9.372119687308804e-05,9.372119687308803e-05,9.02280598400366e-05
120,105,model1_fixed_q,0.044866964901946395,7.735715183602761e-05,7.735715183602761e-05,7.622923416305955e-05
120,105,model3_dynamic_q,0.04929560906674077,9.311486665824344e-05,8.127969912431194e-05,9.311486665824344e-05
120,106,model1_fixed_q,0.044949618621139345,7.761092370323604e-05,7.708690360710274e-05,7.761092370323604e-05
120,106,model3_dynamic_q,0.04922242350500752,9.366790133102555e-05,9.092061458296925e-05,9.366790133102555e-05
