p,realization,N,E,k_mean,C,L,lambda2
0.1,26,100,500,10.0,0.507536186036186,2.7222222222222223,0.783789183694093
0.1,27,100,500,10.0,0.5154649794649795,2.715757575757576,0.9153299173065784
0.1,28,100,500,10.0,0.4972056277056277,2.664242424242424,0.8882465763289643
0.1,29,100,500,10.0,0.5082537462537462,2.667878787878788,0.8703580832718151
0.2,0,100,500,10.0,0.3756075591075591,2.494949494949495,1.4564964595069556
0.2,1,100,500,10.0,0.40260372960372964,2.5286868686868686,1.1708723065235742
0.2,2,100,500,10.0,0.38203851703851704,2.475151515151515,1.5532116951532673
0.2,3,100,500,10.0,0.3719939504939505,2.462222222222222,1.5815581783027826
0.2,4,100,500,10.0,0.3881978576978577,2.5365656565656565,1.3255821781777213
0.2,5,100,500,10.0,0.4197423687423687,2.513939393939394,1.435503286492925
0.2,6,100,500,10.0,0.3874072594072594,2.490707070707071,1.667185825051815
0.2,7,100,500,10.0,0.3643836718836719,2.478181818181818,1.7629793932382487
0.2,8,100,500,10.0,0.3713897213897214,2.464848484848485,1.6114603011787092
0.2,9,100,500,10.0,0.4181653346653346,2.512929292929293,1.5127920000941917
0.2,10,100,500,10.0,0.3444295704295704,2.443030303030303,1.9411193212019604
0.2,11,100,500,10.0,0.3697531912531912,2.4696969696969697,1.761918642326281
0.2,12,100,500,10.0,0.3692969252969253,2.461010101010101,1.4941365477949042
0.2,13,100,500,10.0,0.3329255189255189,2.443030303030303,1.728279636058327
0.2,14,100,500,10.0,0.3572106782106782,2.4668686868686867,1.568076004875815
0.2,15,100,500,10.0,0.3599542124542125,2.463030303030303,1.7778642140982552
0.2,16,100,500,10.0,0.33405805305805303,2.4317171717171715,1.7664466424312555
0.2,17,100,500,10.0,0.3258264513264513,2.4343434343434343,1.9228121760436738
0.2,18,100,500,10.0,0.3842259962259962,2.5032323232323233,1.5860523088229
0.2,19,100,500,10.0,0.3684478854478854,2.470707070707071,1.4360959821581145
0.2,20,100,500,10.0,0.3970828060828061,2.497777777777778,1.5270133298758475
0.2,21,100,500,10.0,0.3689678654678654,2.4672727272727273,1.6128586787895942
0.2,22,100,500,10.0,0.3914461649461649,2.5090909090909093,1.2759079216980116
0.2,23,100,500,10.0,0.34135847485847487,2.425050505050505,1.925608084849387
0.2,24,100,500,10.0,0.35493734043734043,2.4553535353535354,1.818061002513962
0.2,25,100,500,10.0,0.3537531912531912,2.4593939393939395,1.6877228428309086
0.2,26,100,500,10.0,0.36715595515595517,2.4517171717171715,1.655208727151253
0.2,27,100,500,10.0,0.3676532356532356,2.4608080808080808,1.5745944968015935
0.2,28,100,500,10.0,0.3447953157953158,2.436969696969697,1.7907652394086706
0.2,29,100,500,10.0,0.3966016761016761,2.498787878787879,1.5890581778080133
0.3,0,100,500,10.0,0.2831329226329226,2.371111111111111,2.21083390405228
0.3,1,100,500,10.0,0.2663203463203463,2.3585858585858586,2.4583314769656774
0.3,2,100,500,10.0,0.24182350982350984,2.3426262626262626,2.485277241625816
0.3,3,100,500,10.0,0.27357326007326005,2.3701010101010103,2.181991982593843
0.3,4,100,500,10.0,0.236018093018093,2.3404040404040405,2.4709775326483867
0.3,5,100,500,10.0,0.2555785880785881,2.348888888888889,2.3812160084153833
0.3,6,100,500,10.0,0.29430097680097683,2.4046464646464645,1.8984142669923947
0.3,7,100,500,10.0,0.24647147297147295,2.3294949494949493,2.702978054487214
0.3,8,100,500,10.0,0.2446405816405816,2.3478787878787877,2.5324700090700527
0.3,9,100,500,10.0,0.25409046509046507,2.349090909090909,2.442046636809439
0.3,10,100,500,10.0,0.26698001998001997,2.363232323232323,2.3956843423953322
0.3,11,100,500,10.0,0.3027826062826063,2.3953535353535353,1.8863761181522412
0.3,12,100,500,10.0,0.2906154956154956,2.390707070707071,1.8835967239491778
0.3,13,100,500,10.0,0.24094610944610945,2.330909090909091,2.7591799579563867
0.3,14,100,500,10.0,0.2508447663447663,2.345050505050505,2.4560588433106108
0.3,15,100,500,10.0,0.24201898101898103,2.3442424242424242,2.555173563309071
0.3,16,100,500,10.0,0.2421018426018426,2.342828282828283,2.3979576327308307
0.3,17,100,500,10.0,0.2765772560772561,2.3735353535353534,2.2825915463932236
0.3,18,100,500,10.0,0.3141999666999667,2.422020202020202,1.9907813784292019
0.3,19,100,500,10.0,0.2785667665667666,2.355959595959596,2.3839723965519557
0.3,20,100,500,10.0,0.24384032634032632,2.36,2.373685927429406
0.3,21,100,500,10.0,0.28626215451215453,2.384040404040404,2.0868050094711847
0.3,22,100,500,10.0,0.27388938838938837,2.3692929292929295,2.3173870310415516
0.3,23,100,500,10.0,0.29583100233100235,2.3824242424242423,2.22244869868109
0.3,24,100,500,10.0,0.2708137418137418,2.377979797979798,2.007434983404587
0.3,25,100,500,10.0,0.2780983460983461,2.3555555555555556,2.388935260150254
0.3,26,100,500,10.0,0.24959895659895662,2.345858585858586,2.718861130646115
0.3,27,100,500,10.0,0.24553912753912754,2.3353535353535353,2.502092848890977
0.3,28,100,500,10.0,0.2654335109335109,2.3755555555555556,2.5394697762393106
0.3,29,100,500,10.0,0.2878674381174381,2.3604040404040405,2.3373576520614248
0.4,0,100,500,10.0,0.19798901098901098,2.3008080808080806,3.004867701126159
0.4,1,100,500,10.0,0.19514230214230213,2.3022222222222224,2.899887373898112
0.4,2,100,500,10.0,0.1789000444000444,2.3064646464646463,2.904649376838346
0.4,3,100,500,10.0,0.18499328449328448,2.3064646464646463,2.7220578327997256
0.4,4,100,500,10.0,0.19787232212232211,2.297979797979798,2.9919974594602965
0.4,5,100,500,10.0,0.20606759906759906,2.315151515151515,2.629282322320501
0.4,6,100,500,10.0,0.1910195915195915,2.2959595959595958,2.9622313245065004
0.4,7,100,500,10.0,0.20235864135864137,2.308686868686869,3.0255603497396475
0.4,8,100,500,10.0,0.1855120435120435,2.296161616161616,3.1009881835708195
0.4,9,100,500,10.0,0.19443700743700745,2.3052525252525253,2.975753947113901
0.4,10,100,500,10.0,0.1805926295926296,2.297171717171717,2.7650509185157586
0.4,11,100,500,10.0,0.2120179526355997,2.3070707070707073,2.8798214931762436
0.4,12,100,500,10.0,0.21227389277389277,2.3125252525252527,2.7480450124053046
0.4,13,100,500,10.0,0.22925063825063824,2.3305050505050504,2.7155040917033673
0.4,14,100,500,10.0,0.214517649017649,2.3062626262626265,2.8144563398255755
0.4,15,100,500,10.0,0.17668102159278629,2.2892929292929294,2.819852530929798
0.4,16,100,500,10.0,0.20446652856946976,2.3006060606060608,2.9528182525008226
0.4,17,100,500,10.0,0.1956438283938284,2.3008080808080806,3.0663180585126892
0.4,18,100,500,10.0,0.22181940281940282,2.322828282828283,2.717251627709473
0.4,19,100,500,10.0,0.2145851370851371,2.310909090909091,2.8239322951679564
0.4,20,100,500,10.0,0.20406593406593404,2.3175757575757574,3.1196774362505626
0.4,21,100,500,10.0,0.2034020979020979,2.299191919191919,2.9886753203122294
0.4,22,100,500,10.0,0.18895732045732047,2.2953535353535353,2.935276530359705
0.4,23,100,500,10.0,0.21122385947385947,2.303030303030303,3.0590135447380113
0.4,24,100,500,10.0,0.1804583472083472,2.293939393939394,3.240100507955198
0.4,25,100,500,10.0,0.20314396714396715,2.32,2.9340658167007527
0.4,26,100,500,10.0,0.1982340437340437,2.3119191919191917,2.6868394139256786
0.4,27,100,500,10.0,0.16305599955599956,2.2826262626262626,2.9175651802126
0.4,28,100,500,10.0,0.19243894993894994,2.3004040404040405,2.9551662305955535
0.4,29,100,500,10.0,0.20657486957486956,2.307878787878788,2.986038574122386
0.5,0,100,500,10.0,0.1457823842823843,2.2624242424242422,3.551119890842984
0.5,1,100,500,10.0,0.14142907092907092,2.2626262626262625,3.3379160630664786
0.5,2,100,500,10.0,0.14947818847818847,2.266868686868687,3.4370935071624102
0.5,3,100,500,10.0,0.16444361194361193,2.2682828282828282,3.3550903006022814
0.5,4,100,500,10.0,0.15387240537240537,2.2666666666666666,3.386076089970228
0.5,5,100,500,10.0,0.14600507825507825,2.2583838383838386,3.686069858416374
0.5,6,100,500,10.0,0.1514204684204684,2.2743434343434346,3.303032048145197
0.5,7,100,500,10.0,0.15385707593060535,2.265050505050505,3.4297865809186376
0.5,8,100,500,10.0,0.1591427183927184,2.2892929292929294,3.1571328027476735
0.5,9,100,500,10.0,0.14740886890886892,2.264040404040404,3.50845947367991
0.5,10,100,500,10.0,0.15618104118104117,2.2606060606060607,3.1523216432789813
0.5,11,100,500,10.0,0.13990881340881342,2.2608080808080806,3.515428833167718
0.5,12,100,500,10.0,0.15443045843045844,2.2616161616161614,3.531520051545797
0.5,13,100,500,10.0,0.11283308358308358,2.2404040404040404,3.9420870323955146
0.5,14,100,500,10.0,0.12927705627705627,2.2563636363636363,3.7170850987508888
0.5,15,100,500,10.0,0.16157559107559108,2.2626262626262625,3.3497638353445365
0.5,16,100,500,10.0,0.16023700482524014,2.2755555555555556,3.455187918951132
0.5,17,100,500,10.0,0.14538283938283939,2.2711111111111113,3.4100130867061074
0.5,18,100,500,10.0,0.15671110262286733,2.26989898989899,3.2537100572088717
0.5,19,100,500,10.0,0.14474808524808525,2.258989898989899,3.715703017605592
0.5,20,100,500,10.0,0.13992568542568543,2.2608080808080806,3.643061007919636
0.5,21,100,500,10.0,0.16161515445338975,2.2795959595959596,3.186845776011701
0.5,22,100,500,10.0,0.163507548007548,2.271919191919192,3.5057771158152597
0.5,23,100,500,10.0,0.1436710805534335,2.2593939393939393,3.176806710276473
0.5,24,100,500,10.0,0.17886485736485735,2.2848484848484847,3.367716360508621
0.5,25,100,500,10.0,0.1529987234987235,2.256161616161616,3.515301295963387
0.5,26,100,500,10.0,0.1435954600954601,2.2543434343434345,3.4986924790620617
0.5,27,100,500,10.0,0.14471628371628373,2.2624242424242422,3.4573080849401943
0.5,28,100,500,10.0,0.15899694749694748,2.265050505050505,3.415398265407844
0.5,29,100,500,10.0,0.15233007025654083,2.263232323232323,3.1816076384917356
0.6,0,100,500,10.0,0.12173026973026974,2.2426262626262625,3.7007159851388156
0.6,1,100,500,10.0,0.12855931323578382,2.2436363636363637,3.560894319117689
0.6,2,100,500,10.0,0.13287806637806637,2.246868686868687,3.5444762483755294
0.6,3,100,500,10.0,0.10972499722499723,2.253939393939394,3.608140189110438
0.6,4,100,500,10.0,0.12574279315455786,2.2373737373737375,3.930513185091337
0.6,5,100,500,10.0,0.10425976800976802,2.2395959595959596,4.040300293118123
0.6,6,100,500,10.0,0.1157054057054057,2.2387878787878788,3.8636432743101667
0.6,7,100,500,10.0,0.13378615828615828,2.2444444444444445,3.972709823698182
0.6,8,100,500,10.0,0.11947064047064046,2.2347474747474747,3.933813425710391
0.6,9,100,500,10.0,0.12385714285714286,2.242020202020202,3.6409728301399045
0.6,10,100,500,10.0,0.10456759906759906,2.2355555555555555,3.80828436642239
0.6,11,100,500,10.0,0.12487667887667887,2.231919191919192,3.7520440459019344
0.6,12,100,500,10.0,0.12425047175047174,2.249090909090909,3.845815024429256
0.6,13,100,500,10.0,0.12451506826506825,2.242828282828283,3.649977948957111
0.6,14,100,500,10.0,0.11649647574647574,2.243232323232323,3.7007437260499576
0.6,15,100,500,10.0,0.11338622488622489,2.235757575757576,3.6834365980063817
0.6,16,100,500,10.0,0.11613891663891664,2.2347474747474747,3.7551858568683754
0.6,17,100,500,10.0,0.1230179265179265,2.2462626262626264,3.692265775008988
0.6,18,100,500,10.0,0.12198376623376622,2.2456565656565655,3.7465713344429514
0.6,19,100,500,10.0,0.12740345765345765,2.255353535353535,3.4293148793508528
0.6,20,100,500,10.0,0.12365379065379065,2.2448484848484846,3.6139988875585884
0.6,21,100,500,10.0,0.14111724386724386,2.256767676767677,3.2232760877112288
0.6,22,100,500,10.0,0.12134032634032633,2.2458585858585858,3.8010271215919835
0.6,23,100,500,10.0,0.124254329004329,2.242020202020202,3.561772228770407
0.6,24,100,500,10.0,0.11662143412143411,2.2311111111111113,4.008446431585489
0.6,25,100,500,10.0,0.11356243756243757,2.2452525252525253,3.635159013010067
0.6,26,100,500,10.0,0.11341075754311047,2.2347474747474747,3.53243051792842
0.6,27,100,500,10.0,0.11252299334652277,2.230909090909091,3.883533566744211
0.6,28,100,500,10.0,0.13334959484959485,2.2448484848484846,3.7943361552505324
0.6,29,100,500,10.0,0.11248268398268398,2.2347474747474747,3.64113232930296
0.8,0,100,500,10.0,0.08519810744810745,2.2325252525252526,3.5400948358774573
0.8,1,100,500,10.0,0.09454828504828505,2.2193939393939393,4.079607883267251
0.8,2,100,500,10.0,0.10444797600060758,2.2274747474747474,3.7928882590657014
0.8,3,100,500,10.0,0.0942743106566636,2.216767676767677,3.9574038752470813
0.8,4,100,500,10.0,0.09506901431901431,2.223838383838384,3.819848612049532
0.8,5,100,500,10.0,0.10448983206336146,2.2226262626262625,3.7232441434095254
0.8,6,100,500,10.0,0.08221250971250971,2.208282828282828,4.348671769150108
0.8,7,100,500,10.0,0.09181673881673882,2.2206060606060607,3.869841639148005
0.8,8,100,500,10.0,0.09858991008991008,2.2248484848484846,3.799979156799178
0.8,9,100,500,10.0,0.10453751803751804,2.2418181818181817,3.6615515868570476
0.8,10,100,500,10.0,0.10693095793095793,2.2252525252525253,4.005975850341566
0.8,11,100,500,10.0,0.09765911865911865,2.2276767676767677,3.865435431457955
0.8,12,100,500,10.0,0.10454650904650904,2.2276767676767677,3.625378672077182
0.8,13,100,500,10.0,0.09921032725444491,2.2288888888888887,3.8266350231691213
0.8,14,100,500,10.0,0.10171875346875346,2.216161616161616,3.8790092899434008
0.8,15,100,500,10.0,0.09970868020868022,2.218989898989899,3.753102449403776
0.8,16,100,500,10.0,0.07730705405705406,2.226060606060606,3.9957838946095254
0.8,17,100,500,10.0,0.1055252904989747,2.2284848484848485,3.759231123858519
0.8,18,100,500,10.0,0.10187384837384837,2.226868686868687,3.7688654067493577
0.8,19,100,500,10.0,0.09717273412861648,2.228080808080808,4.081285307948949
0.8,20,100,500,10.0,0.10447481276893042,2.231313131313131,3.962182333181942
0.8,21,100,500,10.0,0.08612309912309912,2.2214141414141415,3.9777735079055607
