k,p,realization,N,E,k_mean,C,L,lambda2
8,0.05,10,100,400,8.0,0.5346190476190477,3.32020202020202,0.345255821765727
8,0.05,11,100,400,8.0,0.5615396825396826,3.4832323232323232,0.274209079987303
8,0.05,12,100,400,8.0,0.5448412698412698,3.3319191919191917,0.35006603517282087
8,0.05,13,100,400,8.0,0.5545793650793651,3.3646464646464644,0.3693956399914611
8,0.05,14,100,400,8.0,0.5359047619047619,3.3147474747474748,0.4684010931476744
8,0.05,15,100,400,8.0,0.5301825396825397,3.1987878787878787,0.4277930816776766
8,0.05,16,100,400,8.0,0.559495670995671,3.378989898989899,0.4004250078970044
8,0.05,17,100,400,8.0,0.5308275613275613,3.2418181818181817,0.4530160345270492
8,0.05,18,100,400,8.0,0.5721031746031746,3.5002020202020203,0.3378284680408886
8,0.05,19,100,400,8.0,0.5442063492063491,3.2806060606060607,0.4535790772383701
8,0.05,20,100,400,8.0,0.5891666666666666,3.714141414141414,0.31146376537544757
8,0.05,21,100,400,8.0,0.5343968253968253,3.332121212121212,0.42846080162108374
8,0.05,22,100,400,8.0,0.5400952380952381,3.305858585858586,0.4125474761076965
8,0.05,23,100,400,8.0,0.5624444444444445,3.5286868686868686,0.34904851535282133
8,0.05,24,100,400,8.0,0.5697539682539683,3.6153535353535355,0.3237987192741645
8,0.05,25,100,400,8.0,0.5858730158730159,3.833939393939394,0.22794199422683573
8,0.05,26,100,400,8.0,0.5458730158730158,3.470707070707071,0.2854320069943993
8,0.05,27,100,400,8.0,0.5696190476190476,3.42989898989899,0.334477311493382
8,0.05,28,100,400,8.0,0.5488650793650793,3.474141414141414,0.31469695555625227
8,0.05,29,100,400,8.0,0.5884126984126984,3.6858585858585857,0.28054559680293345
8,0.1,0,100,400,8.0,0.4602922077922078,2.9793939393939395,0.7023230075267624
8,0.1,1,100,400,8.0,0.5012301587301587,3.1333333333333333,0.5380464912578148
8,0.1,2,100,400,8.0,0.48679725829725823,2.9753535353535354,0.6922733943153104
8,0.1,3,100,400,8.0,0.48984920634920637,3.0303030303030303,0.6447132740220359
8,0.1,4,100,400,8.0,0.464023088023088,2.9494949494949494,0.6890378799000871
8,0.1,5,100,400,8.0,0.519,3.1880808080808083,0.43650110392121644
8,0.1,6,100,400,8.0,0.4407857142857143,2.845858585858586,0.8711450038026771
8,0.1,7,100,400,8.0,0.5052619047619048,3.063838383838384,0.6550818812510758
8,0.1,8,100,400,8.0,0.4682539682539682,3.0323232323232325,0.6075352147275332
8,0.1,9,100,400,8.0,0.4431067821067821,2.958181818181818,0.7293393206754872
8,0.1,10,100,400,8.0,0.5057142857142857,3.074949494949495,0.6011746647546423
8,0.1,11,100,400,8.0,0.49088095238095236,3.111919191919192,0.45383557054600987
8,0.1,12,100,400,8.0,0.4736587301587301,3.0672727272727274,0.5192536431605042
8,0.1,13,100,400,8.0,0.4543888888888889,2.9735353535353535,0.652605173237099
8,0.1,14,100,400,8.0,0.48868253968253966,3.0650505050505052,0.5004748900252958
8,0.1,15,100,400,8.0,0.4805714285714286,2.99959595959596,0.597592206794992
8,0.1,16,100,400,8.0,0.4928492063492063,3.012121212121212,0.6047844581459452
